name,number,city,region,longitude,latitude,lon_miles,lat_miles,cases,deaths,tested,recovered,active,population,hospitalized,buffer_deg
Adam,12,Fayetteville,AR,-94.16,36.07,55.85,69.1,161,1,1063,9,76,1264472,0,1
Ahmed,20,PalmDesert,CA,-116.39,33.73,57.47,69.1,1874,36,0,60,587,5808876,0,1
Annapolis,28,Annapolis,MD,-76.54,38.79,53.86,69.1,3935,62,0,0,391,8702579,0,1
Anne,2,LittleRock,AR,-92.41,34.74,56.78,69.1,480,12,3961,50,418,1265037,0,1
ATL,27,ATL,GA,-84.43,33.64,57.53,69.1,4282,125,0,0,0,7052900,0,1
Ben,21,Melbourne,AUS,145.04,-36.83,55.31,69.1,0,0,0,0,0,0,0,1
Benee,34,BatonRouge,LA,-91.2,30.45,59.57,69.1,2898,95,0,0,0,1823030,0,1
Bliss,11,Oakland,CA,-122.25,37.81,54.59,69.1,4118,110,9464,21,83,10547297,0,1
Chance,16,SanDiego,CA,-117.12,32.8,58.08,69.1,1995,32,9797,0,0,6514022,0,1
Chase,10,Denver,CO,-104.94,39.6,53.24,69.1,3392,0,0,0,0,4363718,0,1
CMU,25,Pittsburgh,PA,-79.95,40.44,52.59,69.1,1464,38,0,0,0,3830030,0,1
Dad,15,RoundTop,TX,-96.8,29.98,59.85,69.1,651,10,0,0,0,2600478,0,1
Daniel,9,OverlandPark,KS,-94.68,38.98,53.71,69.1,723,4,0,0,0,2577115,0,1
Don,33,Pittsburg,KS,-94.7,37.4,54.89,69.1,72,1,0,0,0,615365,0,1
Garrett,7,WarnerRobins,GA,-83.6,32.61,58.2,69.1,1135,44,0,0,0,1799077,0,1
Grandma,13,Leesburg,FL,-81.87,28.73,60.59,69.1,2705,42,36824,0,0,8228843,0,1
Haley,32,Russelville,AR,-93.13,35.27,56.41,69.1,298,9,3005,27,262,1084204,0,1
Helwan,19,Helwan,EGY,31.33,29.84,59.94,69.1,0,0,0,0,0,0,0,1
Jaber,8,Phoenix,AZ,-112.07,33.49,57.63,69.1,1260,0,0,0,0,4948203,0,1
Jan,1,Crawfordville,FL,-84.39,30.19,59.73,69.1,199,3,1444,0,0,815431,0,1
Joshua,31,Montpelier,VT,-72.57,44.26,49.49,69.1,0,0,0,0,0,0,0,1
Justin,30,Windsor,CT,-72.64,41.85,51.47,69.1,7156,164,0,0,0,5218235,0,1
London,4,London,ENG,-0.11,51.52,43,69.1,15650,0,0,0,0,9848623,0,1
Mom,14,Smackover,AR,-92.73,33.36,57.71,69.1,553,8,1241,15,110,804035,0,1
NewOrleans,3,NewOrleans,LA,-90.1,29.95,59.87,69.1,10261,352,0,0,0,2539670,0,1
NYC,5,NewYorkCity,NY,-73.99,40.74,52.35,69.1,23244,614,0,0,0,8966265,0,1
Ohio,17,Ravenna,OH,-81.24,41.16,52.02,69.1,1997,67,0,0,0,4553465,0,1
Ozy,29,Nassau,BAH,-77.29,25.04,62.6,69.1,0,0,0,0,0,0,0,1
PIT,26,PIT,PA,-80.25,40.5,52.54,69.1,1541,41,0,0,0,3816260,0,1
RI,18,Barrington,RI,-71.32,41.74,51.56,69.1,10817,14,0,0,0,7449257,0,1
Rob,24,Poole,ENG,-2,50.71,43.76,69.1,1794,0,0,0,0,4330110,0,1
Ryan,23,LosAngeles,CA,-118.44,34.07,57.24,69.1,6266,137,13689,60,137,14060805,0,1
Victoria,22,Victoria,CAN,-123.37,48.47,45.81,69.1,250,3,0,0,0,483748,0,1
Wayne,6,Melissa,TX,-96.56,33.27,57.77,69.1,1945,36,0,0,0,7824486,0,1
